OrderID,CustomerName,City,Product,Category,Quantity,Price,Discount,TotalAmount,DiscountAmount,NetAmount
1001,Anish,Kathmandu,Laptop,Electronics,1,80000,10.0,80000,8000.0,72000.0
1002,Riya,Pokhara,Phone,Electronics,2,30000,5.0,60000,3000.0,57000.0
1003,Suman,Kathmandu,Headphones,Electronics,1,2000,0.0,2000,0.0,2000.0
1004,Anish,Kathmandu,Laptop,Electronics,1,80000,10.0,80000,8000.0,72000.0
1005,Kiran,Biratnagar,Chair,Furniture,3,5000,0.0,15000,0.0,15000.0
1006,,Pokhara,Table,Furniture,1,15000,5.0,15000,750.0,14250.0
1007,Meena,Lalitpur,Phone,Electronics,1,30000,50.0,30000,15000.0,15000.0
1008,Ramesh,Kathmandu,Book,Stationery,5,500,-5.0,2500,-125.0,2625.0
1009,Sita,Pokhara,Pen,Stationery,10,50,0.0,500,0.0,500.0
1010,Suman,Kathmandu,Laptop,Electronics,1,80000,110.0,80000,88000.0,-8000.0
